	C1_s0_L001_R1_001_trimmed.fastqS.bam	C2_s0_L001_R1_001_trimmed.fastqS.bam	C3_s1_L001_R1_001_trimmed.fastqS.bam	C4_s0_L002_R1_001_trimmed.fastqS.bam	C5_s0_L002_R1_001_trimmed.fastqS.bam	NLA1_s0_L001_R1_001_trimmed.fastqS.bam	NLA2_s1_L001_R1_001_trimmed.fastqS.bam	NLA3_s0_L002_R1_001_trimmed.fastqS.bam	NLA4_s0_L002_R1_001_trimmed.fastqS.bam	NLA5_s0_L002_R1_001_trimmed.fastqS.bam	PLS1_s0_L001_R1_001_trimmed.fastqS.bam	PLS2_s0_L001_R1_001_trimmed.fastqS.bam	PLS3_s0_L002_R1_001_trimmed.fastqS.bam	PLS4_s0_L002_R1_001_trimmed.fastqS.bam	PLS5_s0_L002_R1_001_trimmed.fastqS.bam
hsa-miR-6807-3p	5	0	2	0	2	0	0	0	0	0	0	1	0	0	0
hsa-miR-6807-5p	0	0	0	2	0	0	1	1	0	0	1	1	0	0	1
hsa-miR-6808-3p	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0
hsa-miR-6808-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6809-3p	0	1	2	2	0	0	0	1	0	0	0	0	0	1	0
hsa-miR-6809-5p	2	2	1	2	1	0	0	1	0	0	0	2	0	0	1
hsa-miR-6810-3p	4	6	4	1	1	1	3	2	2	3	2	2	2	2	2
hsa-miR-6810-5p	0	2	0	1	0	0	1	0	0	0	0	0	1	1	0
hsa-miR-6811-3p	1	2	0	1	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-6811-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6812-3p	1	1	0	0	1	0	5	0	0	0	2	2	1	1	0
hsa-miR-6812-5p	1	1	0	1	1	3	0	1	0	0	0	0	1	0	0
hsa-miR-6813-3p	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0
hsa-miR-6813-5p	3	3	3	4	2	0	2	2	0	0	0	1	0	0	0
hsa-miR-6814-3p	0	1	0	1	1	0	1	0	1	2	0	0	0	0	0
hsa-miR-6814-5p	3	6	1	2	0	1	0	1	0	1	1	1	1	1	1
hsa-miR-6815-3p	6	2	3	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6815-5p	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-6816-3p	2	2	0	1	2	1	2	2	0	0	0	3	0	2	1
hsa-miR-6816-5p	0	1	1	1	2	0	0	1	0	0	0	0	1	0	0
hsa-miR-6817-3p	8	3	0	3	4	2	1	0	1	2	0	0	1	1	0
hsa-miR-6817-5p	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0
hsa-miR-6818-3p	2	4	1	2	0	0	2	0	0	0	3	1	1	1	1
hsa-miR-6818-5p	1	3	2	2	2	0	0	0	0	2	0	1	1	1	1
hsa-miR-6819-3p	1	5	0	1	2	0	1	0	0	0	0	0	0	0	1
hsa-miR-6819-5p	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-6820-3p	10	7	4	4	11	2	1	2	1	3	3	4	3	2	0
hsa-miR-6820-5p	2	3	1	1	0	2	2	2	1	2	1	0	2	0	2
hsa-miR-6821-3p	1	0	1	1	0	1	0	0	0	1	1	0	0	2	0
hsa-miR-6821-5p	0	0	0	0	2	2	0	0	0	0	0	1	0	1	1
hsa-miR-6822-3p	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
hsa-miR-6822-5p	0	1	1	0	1	1	1	0	1	0	2	0	2	0	1
hsa-miR-6823-3p	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6823-5p	2	0	1	0	0	0	0	1	0	0	0	1	0	1	0
hsa-miR-6824-3p	6	3	2	1	2	4	3	3	1	0	1	0	3	1	0
hsa-miR-6824-5p	2	3	1	2	1	1	3	2	0	0	0	1	1	0	0
hsa-miR-6825-3p	2	1	3	0	0	10	0	0	0	0	0	0	0	0	0
hsa-miR-6825-5p	0	1	0	1	1	1	0	1	2	0	0	0	0	0	1
hsa-miR-6826-3p	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6826-5p	1	1	1	0	0	0	0	0	0	1	1	1	2	0	0
hsa-miR-6827-3p	2	5	3	4	0	6	4	1	4	3	0	1	2	1	0
hsa-miR-6827-5p	1	3	1	1	0	4	1	2	1	0	0	0	1	1	0
hsa-miR-6828-3p	4	2	3	7	2	2	0	0	0	1	0	1	0	1	0
hsa-miR-6828-5p	4	6	3	3	4	1	2	1	1	1	3	2	1	0	0
hsa-miR-6829-3p	1	1	3	1	1	1	1	2	0	0	0	1	0	1	0
hsa-miR-6829-5p	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0
hsa-miR-6830-3p	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
hsa-miR-6830-5p	0	1	5	1	0	0	2	2	0	0	0	0	0	0	0
hsa-miR-6831-3p	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-6831-5p	0	2	2	0	1	0	0	0	0	0	0	0	0	0	2
hsa-miR-6832-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-6832-5p	0	1	2	0	0	1	1	1	0	0	1	2	0	0	0
hsa-miR-6833-3p	2	2	2	0	3	0	3	1	0	2	0	2	3	2	0
hsa-miR-6833-5p	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6834-3p	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
hsa-miR-6834-5p	3	3	3	1	1	0	3	0	1	0	0	1	0	1	1
hsa-miR-6835-3p	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6835-5p	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6836-3p	0	0	0	1	1	1	0	1	0	0	0	0	2	0	0
hsa-miR-6836-5p	1	2	1	0	2	1	0	0	0	0	1	3	1	1	0
hsa-miR-6837-3p	6	12	9	8	5	1	7	5	1	2	6	4	4	4	3
hsa-miR-6837-5p	0	3	0	0	2	2	1	0	0	0	0	0	0	0	0
hsa-miR-6838-3p	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6838-5p	0	0	1	1	1	3	1	0	0	2	0	0	3	0	0
hsa-miR-6839-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6839-5p	1	2	0	4	0	1	0	0	1	0	0	0	0	1	2
hsa-miR-6840-3p	0	0	0	2	2	0	2	1	0	0	0	0	3	1	0
hsa-miR-6840-5p	1	1	2	0	1	1	4	2	1	0	0	0	2	0	1
hsa-miR-6841-3p	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6841-5p	1	0	1	2	1	1	0	0	0	0	0	1	2	0	0
hsa-miR-6842-3p	21	18	10	9	8	6	9	8	2	8	13	23	21	14	9
hsa-miR-6842-5p	0	2	0	0	0	0	1	0	1	0	4	4	1	2	0
hsa-miR-6843-3p	4	2	1	2	0	0	1	0	1	1	0	1	6	5	1
hsa-miR-6844	6	5	0	4	8	4	3	5	1	3	3	1	1	1	2
hsa-miR-6845-3p	4	5	6	0	4	4	1	3	1	2	1	3	3	1	0
hsa-miR-6845-5p	0	0	0	0	0	1	5	2	0	0	0	1	1	0	0
hsa-miR-6846-3p	1	0	1	3	0	0	1	0	0	0	1	0	0	0	0
hsa-miR-6846-5p	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0
hsa-miR-6847-3p	2	2	1	0	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-6847-5p	6	3	1	1	3	2	4	1	2	4	1	0	0	0	0
hsa-miR-6848-3p	13	16	13	15	18	17	34	39	13	20	12	8	7	12	7
hsa-miR-6848-5p	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0
hsa-miR-6849-3p	0	1	0	0	2	1	0	0	1	2	0	0	0	0	0
hsa-miR-6849-5p	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0
hsa-miR-6850-3p	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0
hsa-miR-6850-5p	0	1	1	1	2	1	2	1	0	0	1	0	0	0	1
hsa-miR-6851-3p	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0
hsa-miR-6851-5p	1	1	1	0	0	0	1	1	0	1	0	1	0	0	0
hsa-miR-6852-3p	0	0	0	3	1	1	0	1	0	0	0	0	0	0	0
hsa-miR-6852-5p	4	3	2	2	3	1	1	3	1	0	1	3	1	2	0
hsa-miR-6853-3p	5	7	7	8	1	6	3	4	4	0	1	6	6	2	2
hsa-miR-6853-5p	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
hsa-miR-6854-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6854-5p	4	4	2	1	0	0	0	3	0	0	1	1	0	5	2
hsa-miR-6855-3p	1	2	1	0	2	2	2	0	0	0	2	0	2	0	0
hsa-miR-6855-5p	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0
hsa-miR-6856-3p	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6856-5p	1	1	1	0	0	1	1	0	2	0	0	0	0	0	1
hsa-miR-6857-3p	1	0	0	0	5	1	1	1	1	0	0	1	0	0	0
hsa-miR-6857-5p	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6858-3p	1	6	3	1	3	1	2	2	2	1	0	1	1	5	2
hsa-miR-6858-5p	3	4	4	2	4	1	4	2	2	2	0	0	1	1	0
hsa-miR-6859-3p	1	3	0	0	1	0	1	1	0	0	2	0	0	0	0
hsa-miR-6859-5p	11	8	5	10	10	8	13	2	3	10	5	5	12	8	3
hsa-miR-6860	0	0	0	0	1	0	3	1	1	0	0	0	0	0	1
hsa-miR-6861-3p	1	6	2	2	3	0	0	0	0	0	1	1	0	0	2
hsa-miR-6861-5p	3	4	1	1	2	0	2	3	0	0	0	0	1	0	0
hsa-miR-6862-3p	2	4	1	1	2	0	1	2	0	0	2	1	0	0	0
hsa-miR-6862-5p	0	2	0	0	3	0	1	3	0	1	1	2	0	0	1
hsa-miR-6863	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6864-3p	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6864-5p	1	0	5	8	8	0	1	1	1	1	0	0	4	1	0
hsa-miR-6865-3p	2	1	2	3	2	0	1	1	1	1	1	0	2	1	0
hsa-miR-6865-5p	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6866-3p	1	1	1	0	3	0	0	0	0	0	1	0	1	0	0
hsa-miR-6866-5p	9	6	3	12	6	2	3	2	1	1	1	0	5	1	1
hsa-miR-6867-3p	2	0	0	1	3	1	0	2	0	0	0	0	2	0	0
hsa-miR-6867-5p	1	4	0	0	1	1	0	0	1	0	0	0	0	1	0
hsa-miR-6868-3p	1	1	0	1	10	1	7	7	4	5	1	1	3	0	5
hsa-miR-6868-5p	1	1	1	1	2	2	0	0	0	1	0	0	3	1	0
hsa-miR-6869-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6869-5p	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1
hsa-miR-6870-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6870-5p	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6871-3p	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0
hsa-miR-6871-5p	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0
hsa-miR-6872-3p	2	1	1	1	2	1	3	2	0	0	0	1	0	1	0
hsa-miR-6872-5p	1	2	1	0	1	0	0	0	0	0	0	2	1	0	1
hsa-miR-6873-3p	2	4	4	4	4	0	1	6	1	1	4	1	3	0	1
hsa-miR-6873-5p	1	2	2	2	3	0	1	3	0	0	1	0	1	0	0
hsa-miR-6874-3p	2	2	1	5	2	1	2	2	0	2	1	2	1	1	0
hsa-miR-6874-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6875-3p	95	116	68	167	170	58	57	87	30	66	46	95	97	52	17
hsa-miR-6875-5p	2	1	0	0	1	0	0	1	1	0	1	2	2	1	1
hsa-miR-6876-3p	2	2	2	2	4	1	0	0	1	0	0	0	0	0	0
hsa-miR-6876-5p	0	0	3	2	0	1	1	0	1	0	0	0	0	0	0
hsa-miR-6877-3p	7	1	3	3	2	2	2	0	2	0	0	1	3	0	0
hsa-miR-6877-5p	0	0	3	2	0	1	2	2	2	0	0	0	0	0	1
hsa-miR-6878-3p	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6878-5p	2	1	2	2	0	2	1	1	0	1	0	1	1	1	0
hsa-miR-6879-3p	4	5	4	3	7	5	4	8	1	2	3	4	1	1	1
hsa-miR-6879-5p	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0
hsa-miR-6880-3p	0	2	1	0	2	1	1	1	0	0	0	0	0	0	0
hsa-miR-6880-5p	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-6881-3p	11	7	14	11	12	5	7	5	3	3	1	2	2	0	0
hsa-miR-6881-5p	1	5	1	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-6882-3p	2	3	1	0	0	1	1	2	0	0	0	0	1	0	0
hsa-miR-6882-5p	5	10	11	5	3	3	4	0	1	3	4	7	4	4	1
hsa-miR-6883-3p	0	2	1	0	2	1	3	1	0	1	1	0	2	1	0
hsa-miR-6883-5p	56	63	59	37	41	32	16	30	12	7	9	7	9	21	5
hsa-miR-6884-3p	0	0	0	1	2	0	1	0	0	1	0	0	1	0	0
hsa-miR-6884-5p	13	4	6	4	12	3	2	6	2	2	3	4	7	1	0
hsa-miR-6885-3p	0	1	3	2	1	1	1	1	0	0	0	1	1	1	0
hsa-miR-6885-5p	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1
hsa-miR-6886-3p	16	20	23	11	17	6	6	7	8	1	1	3	6	3	2
hsa-miR-6886-5p	3	0	2	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6887-3p	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6887-5p	0	1	1	2	4	1	0	0	0	0	1	0	1	1	0
hsa-miR-6888-3p	2	2	2	3	3	1	2	0	0	0	1	0	0	0	0
hsa-miR-6888-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6889-3p	2	1	0	1	0	1	3	0	0	0	0	1	0	0	0
hsa-miR-6889-5p	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-6890-3p	2	0	1	1	0	0	1	1	0	0	0	0	0	1	0
hsa-miR-6890-5p	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-6891-3p	4	3	4	1	1	1	0	0	0	0	0	1	0	0	0
hsa-miR-6891-5p	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6892-3p	1	4	0	2	0	1	1	0	0	0	0	0	0	1	0
hsa-miR-6892-5p	0	0	1	0	1	1	0	0	1	1	1	0	0	1	0
hsa-miR-6893-3p	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-6893-5p	1	1	2	2	1	1	0	1	0	1	2	0	2	3	1
hsa-miR-6894-3p	0	3	6	4	4	2	2	2	1	1	1	3	5	3	1
hsa-miR-6894-5p	2	1	6	0	3	3	3	4	1	1	0	1	1	1	0
hsa-miR-6895-3p	2	0	5	3	4	2	2	3	1	0	0	0	1	0	0
hsa-miR-6895-5p	1	4	0	0	1	3	2	0	0	0	0	0	0	0	1
hsa-miR-7-1-3p	73	100	70	93	103	71	47	39	30	27	73	62	66	35	13
hsa-miR-7-2-3p	11	10	7	2	12	5	8	5	0	4	3	7	9	1	1
hsa-miR-7-5p	134	132	129	176	208	155	98	83	46	16	389	317	266	45	13
hsa-miR-708-3p	359	413	327	415	507	272	687	666	287	307	585	569	892	692	301
hsa-miR-708-5p	805	883	747	1043	1303	1110	1363	1331	521	1406	1868	1697	2416	2208	702
hsa-miR-7106-3p	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
hsa-miR-7106-5p	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0
hsa-miR-7107-3p	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0
hsa-miR-7107-5p	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-7108-3p	0	2	2	1	1	0	0	0	0	1	1	1	0	0	0
hsa-miR-7108-5p	0	1	0	0	2	2	0	1	0	0	0	0	1	2	0
hsa-miR-7109-3p	2	1	0	0	1	0	0	0	0	1	0	0	1	1	0
hsa-miR-7109-5p	2	0	1	0	1	0	0	1	0	1	0	0	1	0	0
hsa-miR-711	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0
hsa-miR-7110-3p	193	164	113	243	218	45	150	132	151	29	11	9	10	31	32
hsa-miR-7110-5p	2	3	2	1	2	4	0	2	0	2	0	1	3	2	1
hsa-miR-7111-3p	3	4	2	0	3	3	1	2	0	0	0	2	0	3	0
hsa-miR-7111-5p	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
hsa-miR-7112-3p	0	1	2	1	0	0	0	0	0	0	0	2	2	2	0
hsa-miR-7112-5p	1	0	1	0	0	0	0	3	1	1	0	0	3	1	4
hsa-miR-7113-3p	2	0	2	1	0	0	0	1	2	1	0	0	0	0	0
hsa-miR-7113-5p	0	2	0	1	0	0	0	0	2	1	0	0	0	0	1
hsa-miR-7114-3p	8	3	3	2	7	4	3	3	3	1	8	5	8	3	4
hsa-miR-7114-5p	2	1	3	3	1	1	2	3	1	0	0	1	3	1	5
hsa-miR-7150	1	4	1	1	3	1	0	0	1	1	0	0	0	0	0
hsa-miR-7151-3p	12	20	10	20	19	8	21	12	7	14	5	11	4	1	3
hsa-miR-7151-5p	6	6	6	1	3	3	2	4	1	2	1	0	0	0	1
hsa-miR-7152-3p	2	1	3	2	2	1	0	1	2	0	2	2	1	0	1
hsa-miR-7152-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
hsa-miR-7153-3p	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-7153-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7154-3p	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-7154-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7155-3p	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0
hsa-miR-7155-5p	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7156-3p	2	2	1	5	7	1	3	10	1	7	1	2	8	1	3
hsa-miR-7156-5p	1	1	1	0	0	1	1	0	0	0	0	3	0	1	0
hsa-miR-7157-3p	1	1	1	0	0	0	1	0	2	0	0	0	0	0	0
hsa-miR-7157-5p	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-7158-3p	137	144	106	115	115	75	128	99	55	91	18	43	28	11	1
hsa-miR-7158-5p	5	3	6	4	5	1	1	0	0	3	0	0	0	0	1
hsa-miR-7159-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-7159-5p	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-7160-3p	1	2	1	0	2	0	0	0	0	0	0	1	0	0	0
hsa-miR-7160-5p	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-7161-3p	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-7161-5p	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-7162-3p	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-7162-5p	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-718	8	5	4	5	3	0	0	1	1	2	1	1	2	1	1
hsa-miR-744-3p	104	108	102	114	114	84	69	76	16	67	79	76	72	51	20
hsa-miR-744-5p	1091	1324	1116	988	1139	1063	1134	905	320	566	815	1055	1301	438	380
hsa-miR-7515	3	1	0	1	7	0	2	2	0	0	0	0	0	0	0
hsa-miR-758-3p	85	109	93	176	211	67	82	69	26	44	60	83	99	21	13
hsa-miR-758-5p	13	15	5	15	29	5	13	13	3	8	16	13	22	2	2
hsa-miR-759	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-760	73	69	68	87	82	62	151	125	42	62	81	112	157	95	36
hsa-miR-761	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-762	3	1	1	1	3	8	1	5	0	1	4	5	3	6	0
hsa-miR-764	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-7641	570	626	422	389	447	321	282	360	252	432	262	224	257	1063	433
hsa-miR-765	2	2	3	6	3	1	3	0	1	1	3	1	1	2	0
hsa-miR-766-3p	59	51	54	85	91	58	80	46	16	32	57	34	64	23	13
hsa-miR-766-5p	1	2	0	2	1	1	4	2	0	1	0	1	0	0	0
hsa-miR-767-3p	1	0	2	2	2	1	0	3	1	5	0	4	3	1	0
hsa-miR-767-5p	54	56	55	49	78	57	53	36	16	32	57	68	88	116	28
hsa-miR-769-3p	66	91	70	81	109	66	77	113	44	40	102	115	128	40	13
hsa-miR-769-5p	10111	11977	10049	12707	15464	7611	16164	15470	5552	5426	8360	10388	10658	3477	1745
hsa-miR-770-5p	50	65	66	55	62	44	35	35	9	26	63	65	41	7	2
hsa-miR-7702	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0
hsa-miR-7703	1	1	4	0	0	1	0	1	0	0	1	1	0	1	0
hsa-miR-7704	344	373	329	231	350	215	346	338	147	138	214	244	414	296	182
hsa-miR-7705	4	2	5	2	2	6	4	15	8	8	2	8	13	22	11
hsa-miR-7706	71	89	76	55	80	58	90	77	40	29	39	49	63	51	23
hsa-miR-7843-3p	1	1	0	1	2	0	0	0	0	1	0	0	1	0	0
hsa-miR-7843-5p	2	0	1	0	1	0	0	0	0	1	0	0	1	0	0
hsa-miR-7844-5p	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7845-5p	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-7846-3p	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-7847-3p	2	2	1	2	2	0	1	1	0	2	0	0	0	2	0
hsa-miR-7848-3p	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0
hsa-miR-7849-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7850-5p	1	1	2	0	0	0	2	1	0	1	0	0	0	1	1
hsa-miR-7851-3p	26	25	11	16	22	1	8	4	2	4	0	0	1	6	5
hsa-miR-7852-3p	1	3	0	1	1	0	0	0	1	0	0	0	0	0	0
hsa-miR-7853-5p	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-7854-3p	1	1	0	1	2	0	2	2	1	0	0	0	0	0	1
hsa-miR-7855-5p	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
hsa-miR-7856-5p	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1
hsa-miR-7973	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0
hsa-miR-7974	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7975	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-7976	1	3	1	1	0	1	3	1	2	1	0	1	0	0	1
hsa-miR-7977	1	1	0	1	0	0	0	0	0	0	0	2	1	0	0
hsa-miR-7978	0	0	1	3	0	2	0	0	1	0	2	1	1	0	0
hsa-miR-802	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-8052	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-8053	1	2	0	0	0	0	0	1	0	0	2	0	1	0	0
hsa-miR-8054	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8055	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8056	0	0	1	2	0	0	0	2	0	0	0	0	0	1	0
hsa-miR-8057	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
hsa-miR-8058	2	1	6	2	3	1	0	0	0	1	1	0	0	0	0
hsa-miR-8059	5	4	2	1	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-8060	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0
hsa-miR-8061	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-8062	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-8063	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-8064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8065	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-8066	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-8067	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-8068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8069	0	0	2	0	2	0	0	0	0	1	0	0	0	0	1
hsa-miR-8070	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
hsa-miR-8071	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1
hsa-miR-8072	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-8073	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
hsa-miR-8074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8075	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0
hsa-miR-8076	1	1	0	1	2	1	1	1	1	0	1	0	4	1	0
hsa-miR-8077	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8078	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-8079	1	1	0	0	2	0	0	0	0	0	0	0	0	2	1
hsa-miR-8080	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8081	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-8082	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8083	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-8084	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8085	0	1	2	1	1	2	0	0	0	0	0	0	0	1	1
hsa-miR-8086	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8087	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8088	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1
hsa-miR-8089	1	0	5	0	2	0	3	1	1	0	0	1	0	1	1
hsa-miR-8485	11	9	9	5	9	3	0	1	0	2	0	1	1	0	2
hsa-miR-873-3p	75	112	92	53	71	38	69	81	15	51	36	34	39	5	3
hsa-miR-873-5p	405	459	342	228	257	203	351	300	86	155	273	325	292	66	12
hsa-miR-874-3p	1733	1835	1494	2147	2503	1226	2639	2533	890	1179	1096	1312	1290	602	220
hsa-miR-874-5p	475	522	401	452	482	602	329	295	105	241	657	733	564	185	110
hsa-miR-875-3p	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-875-5p	0	1	1	0	0	0	1	1	0	0	0	0	0	5	1
hsa-miR-876-3p	4	5	5	3	2	2	1	2	1	3	6	9	10	0	1
hsa-miR-876-5p	8	7	9	5	3	1	3	4	4	4	11	12	5	0	1
hsa-miR-877-3p	12	6	5	7	10	9	6	10	3	1	2	3	3	1	1
hsa-miR-877-5p	62	79	43	59	72	46	73	74	21	80	31	53	82	25	19
